Compare_ID	A.cluster_names	A.number_of_pools	B.cluster_names	B.number_of_pools	Repeat
E85_NMP_5_vs_E85_SC_5	E85_NMP	5	E85_SC	5	50
E85_NMP_10_vs_E85_SC_10	E85_NMP	10	E85_SC	10	50
E85_NMP_15_vs_E85_SC_15	E85_NMP	15	E85_SC	15	50
E85_NMP_20_vs_E85_SC_20	E85_NMP	20	E85_SC	20	50
E85_NMP_35_vs_E85_SC_35	E85_NMP	35	E85_SC	35	50
E85_NMP_35_vs_E85_SC_40	E85_NMP	40	E85_SC	40	50
E85_NMP_35_vs_E85_SC_45	E85_NMP	45	E85_SC	45	50
E85_NMP_35_vs_E85_SC_50	E85_NMP	50	E85_SC	50	50
E85_NMP_35_vs_E85_SC_55	E85_NMP	55	E85_SC	55	50
E85_NMP_35_vs_E85_SC_60	E85_NMP	60	E85_SC	60	50
