sample_title	mouse_line	cre_driver_1	cre_driver_2	cre_reporter	dissection	tdTomato	pass_qc_checks	broad_type	core_intermediate	primary_type	secondary_type	aibs_vignette_id	Run_s
Calb2_tdTpositive_cell_1	Calb2	Calb2-IRES-Cre	NA	RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Vip Mybpc1	NA	A200_V	SRR2138604
Calb2_tdTpositive_cell_24	Calb2	Calb2-IRES-Cre	NA	RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Vip Mybpc1	NA	A1609_V	SRR2138627
Calb2_tdTpositive_cell_37	Calb2	Calb2-IRES-Cre	NA	RCL-tdT (Ai14)	upper	positive	Y	GABA-ergic Neuron	intermediate	Vip Mybpc1	Vip Parm1	A1622_VU	SRR2138640
Calb2_tdTpositive_cell_38	Calb2	Calb2-IRES-Cre	NA	RCL-tdT (Ai14)	upper	positive	Y	GABA-ergic Neuron	intermediate	Vip Parm1	Vip Mybpc1	A1623_VU	SRR2138641
Calb2_tdTpositive_cell_40	Calb2	Calb2-IRES-Cre	NA	RCL-tdT (Ai14)	upper	positive	Y	GABA-ergic Neuron	core	Vip Mybpc1	NA	A1625_VU	SRR2138643
Calb2_tdTpositive_cell_43	Calb2	Calb2-IRES-Cre	NA	RCL-tdT (Ai14)	upper	positive	Y	GABA-ergic Neuron	core	Vip Mybpc1	NA	A1628_VU	SRR2138646
Calb2_tdTpositive_cell_54	Calb2	Calb2-IRES-Cre	NA	RCL-tdT (Ai14)	lower	positive	Y	GABA-ergic Neuron	core	Vip Mybpc1	NA	A1639_VL	SRR2138657
Calb2_tdTpositive_cell_59	Calb2	Calb2-IRES-Cre	NA	RCL-tdT (Ai14)	lower	positive	Y	GABA-ergic Neuron	core	Vip Mybpc1	NA	A1644_VL	SRR2138662
Calb2_tdTpositive_cell_60	Calb2	Calb2-IRES-Cre	NA	RCL-tdT (Ai14)	lower	positive	Y	GABA-ergic Neuron	intermediate	Vip Parm1	Vip Mybpc1	A1645_VL	SRR2138663
Gad2_tdTpositive_cell_15	Gad2	Gad2-IRES-Cre	NA	RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	intermediate	Vip Mybpc1	Vip Parm1	D1230_V	SRR2138936
Gad2_tdTpositive_cell_34	Gad2	Gad2-IRES-Cre	NA	RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Vip Mybpc1	NA	D1312_V	SRR2138955
Htr3a_tdTpositive_cell_21	Htr3a	Htr3a-Cre_NO152	NA	RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	intermediate	Vip Mybpc1	Vip Parm1	H1026_V	SRR2139022
Htr3a_tdTpositive_cell_27	Htr3a	Htr3a-Cre_NO152	NA	RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Vip Mybpc1	NA	H1032_V	SRR2139028
Htr3a_tdTpositive_cell_34	Htr3a	Htr3a-Cre_NO152	NA	RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Vip Mybpc1	NA	H1039_V	SRR2139035
